text,canonical_form_1,canonical_form_2,canonical_form_3,category_1,category_2,category_3,severity_rating,severity_description,cleaned_text
69,69,,,sexual anatomy / sexual acts,,,1.0,Mild,
@55,ass,,,sexual anatomy / sexual acts,,,1.0,Mild,
@ssfcker,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe,ssfcker
@ssfucker,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe,ssfucker
@ssfvcker,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.4,Strong,ssfvcker
@sshole,ass,,,sexual anatomy / sexual acts,,,1.6,Strong,sshole
0ral seks,sex,,,sexual anatomy / sexual acts,,,1.0,Mild,ral seks
0ral sex,sex,,,sexual anatomy / sexual acts,,,1.8,Strong,ral sex
0rg@sm,orgasm,,,sexual anatomy / sexual acts,,,1.0,Mild,rgsm
0rgasms,orgasm,,,sexual anatomy / sexual acts,,,1.0,Mild,rgasms
3jakulating,ejaculation,,,sexual anatomy / sexual acts,bodily fluids / excrement,,1.6,Strong,jakulating
4r5e,arse,,,sexual anatomy / sexual acts,,,1.4,Mild,re
4r5ed,arse,,,sexual anatomy / sexual acts,,,1.4,Mild,red
4r5es,arse,,,sexual anatomy / sexual acts,,,1.4,Mild,res
4skin,foreskin,,,sexual anatomy / sexual acts,,,1.0,Mild,skin
5h17,shit,,,bodily fluids / excrement,,,1.0,Mild,h
5h1t,shit,,,bodily fluids / excrement,,,1.0,Mild,ht
5kank,skank,,,sexual orientation / gender,,,2.0,Strong,kank
a_s_s,ass,,,sexual anatomy / sexual acts,,,1.0,Mild,ass
abbie,abraham,,,racial / ethnic slurs,,,1.2,Mild,abbie
abeed,abeed,,,racial / ethnic slurs,,,1.8,Strong,abeed
aboe,abo,,,racial / ethnic slurs,,,1.0,Mild,aboe
anal,anal,,,sexual anatomy / sexual acts,,,1.0,Mild,anal
anal hole,anal,,,sexual anatomy / sexual acts,,,2.2,Strong,anal hole
anal hore,anal,,,sexual anatomy / sexual acts,,,2.4,Strong,anal hore
anal pirate,anal,,,sexual anatomy / sexual acts,,,2.2,Strong,anal pirate
analingus,anal,,,sexual anatomy / sexual acts,,,1.6,Strong,analingus
analplug,anal,,,sexual anatomy / sexual acts,,,2.2,Strong,analplug
analplugs,anal,,,sexual anatomy / sexual acts,,,2.0,Strong,analplugs
anilingus,anal,,,sexual anatomy / sexual acts,,,1.8,Strong,anilingus
animal fucker,fuck,,,sexual anatomy / sexual acts,animal references,,3.0,Severe,animal fucker
anus,anus,,,sexual anatomy / sexual acts,,,1.0,Mild,anus
anus plug,anus,,,sexual anatomy / sexual acts,,,2.0,Strong,anus plug
ape shit,ape,shit,,bodily fluids / excrement,,,1.6,Strong,ape shit
ape shite,ape,shit,,bodily fluids / excrement,animal references,,1.6,Strong,ape shite
apeshit,ape,shit,,bodily fluids / excrement,racial / ethnic slurs,animal references,1.4,Mild,apeshit
apeshite,ape,shit,,bodily fluids / excrement,racial / ethnic slurs,,1.4,Mild,apeshite
ar5e,arse,,,sexual anatomy / sexual acts,,,1.0,Mild,are
ar5ehole,arse,,,sexual anatomy / sexual acts,,,1.4,Mild,arehole
arse,arse,,,sexual anatomy / sexual acts,,,1.0,Mild,arse
arse gobbler,arse,,,sexual anatomy / sexual acts,,,2.0,Strong,arse gobbler
arse hole,arse,,,sexual anatomy / sexual acts,,,1.2,Mild,arse hole
arse-bandit,arse,,,sexual orientation / gender,,,2.0,Strong,arsebandit
arse-bandits,arse,,,sexual anatomy / sexual acts,,,2.2,Strong,arsebandits
arse-fucker,fuck,arse,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe,arsefucker
arse-fuckers,fuck,arse,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe,arsefuckers
arse-hole,arse,,,sexual anatomy / sexual acts,,,1.8,Strong,arsehole
arse-shagger,arse,,,sexual anatomy / sexual acts,,,2.4,Strong,arseshagger
arsefuck,fuck,arse,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe,arsefuck
arsefucker,fuck,arse,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe,arsefucker
arsehole,arse,,,sexual anatomy / sexual acts,,,1.4,Mild,arsehole
arseshit,arse,shit,,sexual anatomy / sexual acts,other / general insult,,1.8,Strong,arseshit
arsewipe,arse,,,sexual anatomy / sexual acts,,,1.4,Mild,arsewipe
ashole,ass,,,sexual anatomy / sexual acts,,,1.6,Strong,ashole
ass,ass,,,sexual anatomy / sexual acts,,,1.0,Mild,ass
ass bandit,ass,,,sexual anatomy / sexual acts,,,1.6,Strong,ass bandit
ass eating boiolas,ass,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe,ass eating boiolas
ass eating nob jokeys,ass,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe,ass eating nob jokeys
ass fecker,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe,ass fecker
ass fuck,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe,ass fuck
ass fucker,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe,ass fucker
ass fucking boiolas,fuck,ass,boiolas,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe,ass fucking boiolas
ass fucking nob jokeys,fuck,ass,knob,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe,ass fucking nob jokeys
ass hole,ass,,,sexual anatomy / sexual acts,,,1.2,Mild,ass hole
ass kisser,ass,,,sexual anatomy / sexual acts,,,1.2,Mild,ass kisser
ass licking,ass,,,sexual anatomy / sexual acts,,,1.6,Strong,ass licking
ass muncher,ass,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.2,Strong,ass muncher
ass-bandit,ass,,,sexual anatomy / sexual acts,,,1.8,Strong,assbandit
ass-fucker,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe,assfucker
ass-fuckers,fuck,ass,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe,assfuckers
ass-hole,ass,,,sexual anatomy / sexual acts,,,2.0,Strong,asshole
asses,ass,,,sexual anatomy / sexual acts,,,1.0,Mild,asses
assface,ass,,,sexual anatomy / sexual acts,,,1.6,Strong,assface
assfck,ass,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe,assfck
assfcker,ass,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,2.8,Severe,assfcker
assfk,ass,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,2.2,Strong,assfk
assfkcer,ass,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe,assfkcer
assfker,ass,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,2.2,Strong,assfker
assfkr,ass,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,2.2,Strong,assfkr
assfook,ass,fuck,,sexual anatomy / sexual acts,sexual orientation / gender,,2.6,Severe,assfook
